"BRIDA.AISL","BRIDA AISLAMIENTO"
"VALVFLUJ","VALVULA DE FLUJO_ AXIAL"
"VALVMARI","VALVULA DE MARIPOSA"
"KIRK","CELDA KIRK"
"EDREGULB","REGULADOR DEBAJA PRESIÓN"
"SECCIONA","SECCIONADOR"
"EDSISDES","DESCOMPRESORA SISTEMA DE DESCARGA"
"VALVGLOB","VALVULA DE GLOBO"
"SUMIACOMPUES","SUMIDERO TIPO A COMPUESTO"
"ANILLOS ROZ","ANILLOS ROZANTES"
"MASICO","MEDIDOR MASICO"
"TUBCOBRE","TUBERIA DE COBRE"
"SUMICARCAMO","SUMIDERO CARCAMO"
"SUMIBSENCILL","SUMIDERO TIPO B SENCILLO"
"JUNTA","JUNTA TUBERIA"
"RELEPROTECCION","RELE DE PROTECCION"
"FLLREG","REGLAJE DEFECTUOSO"
"FLLACOM","ACOMETIDA DE LA LUMINARIA ABIERTA O EN CORTO"
"PARPADEO","PARPADEO DE LA BOMBILLA"
"ENROLLADORA","ENROLLADORA DE CABLE"
"FIREWALL","FIREWALL"
"SOBRE_ORUGA","SOBRE ORUGA"
"TRACTOCAMION","TRACTOCAMION"
"CAMA_CUNA","CAMA CUNA"
"SPORT_CALLE","SPORT CALLE"
"CAMA_BAJA","CAMA BAJA"
"GRUA_TALADRO","GRUA TALADRO SOBRE CAMION"
"CAMA_ALTA","CAMA ALTA"
